Liverpool,Virgil van Dijk,Netherlands,Defender,38,4,2,3037,40,38,12,67
Liverpool,Joel Matip,Cameroon,Defender,22,1,0,1341,31,39,11,18
Liverpool,Andrew Robertson,Scotland,Defender,36,0,11,2396,30,80,18,45
Liverpool,Joe Gomez,England,Defender,16,0,0,787,14,17,12,31
Liverpool,Georginio Wijnaldum,Netherlands,Midfielder,35,3,0,1769,21,40,18,36
Liverpool,James Milner,England,Midfielder,31,5,4,1401,18,43,28,13
Liverpool,Jordan Henderson,England,Midfielder,32,1,3,1740,30,46,26,25
Liverpool,Roberto Firmino,Brazil,Forward,34,12,6,1279,6,29,38,72
Liverpool,Mohamed Salah,Egypt,Forward,38,22,8,1079,5,21,25,135
Liverpool,Sadio Mane,Senegal,Forward,36,22,1,1184,15,34,34,76
